auroc,bacc,f1,sens,spec,brier,ece
0.6086956521739131,0.6793478260869565,0.6,0.75,0.6086956521739131,0.22246177939192477,0.08978089609808493
0.6159420289855072,0.6992753623188406,0.625,0.8333333333333334,0.5652173913043478,0.22336464564364802,0.1006329957138521
0.6268115942028984,0.697463768115942,0.6285714285714286,0.9166666666666666,0.4782608695652174,0.22684558685239853,0.0625736210386062
0.6376811594202898,0.697463768115942,0.6285714285714286,0.9166666666666666,0.4782608695652174,0.22422956635271254,0.08845436180374738
0.6304347826086957,0.7210144927536233,0.6451612903225806,0.8333333333333334,0.6086956521739131,0.22037800159575252,0.14995923386993093
0.6086956521739131,0.6793478260869565,0.6,0.75,0.6086956521739131,0.21969942529596648,0.12548160630904606
0.605072463768116,0.677536231884058,0.6060606060606061,0.8333333333333334,0.5217391304347826,0.22757396167662824,0.061713845604643935
0.6376811594202898,0.697463768115942,0.6285714285714286,0.9166666666666666,0.4782608695652174,0.2203894982743442,0.09659825956211354
0.605072463768116,0.677536231884058,0.6060606060606061,0.8333333333333334,0.5217391304347826,0.22304212350148125,0.10790818504173968
0.6376811594202898,0.697463768115942,0.6285714285714286,0.9166666666666666,0.4782608695652174,0.22707115303412653,0.059888198572217444
